Year,Population
-800,0
-700,80000
-400,50000
-200,200000
-120,375000
-44,750000
0,1000000
100,1000000
200,1000000
300,800000
400,800000
550,30000
600,50000
800,35000
1084,15000
1377,17000
1527,55000
1700,150000
1748,150000
1800,153000
1861,194500
1911,518917
1950,1884065
1955,2142917
1960,2455581
1965,2780218
1970,3134828
1975,3300294
1980,3390480
1985,3538418
1990,3717731
1995,3738572
2000,3708301
2005,3807383
2010,3957247
2015,4113185
2020,4257056
